active_dim_1,active_dim_2,epochs,final_train_mse,final_val_mse,inp_dim,linear_readout,lr,model_path,model_scaling,n_train1,n_train2,one_task,overlap,save_path,scaling,seed,threshold,w_scaling
40,5,100000,9.268343037494019e-11,0.5334126949310303,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=16--overlap_bool=yes--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,5,100000,9.703964021223752e-11,0.9070111513137816,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=16--overlap_bool=yes--w_scaling=0.01--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10,0.01
40,5,100000,9.946248685777091e-11,0.0576295405626297,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=yes--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,5,100000,9.970470282727462e-11,0.0097565287724137,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=yes--w_scaling=0.01--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10,0.01
40,5,100000,1.0000016786859688e-10,1.307522893512214e-06,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=yes--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,5,100000,9.994219341002972e-11,8.169346256181598e-05,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=yes--w_scaling=0.01--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10,0.01
40,5,100000,4.90623819349167e-10,4.22184314174956e-08,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,128,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=128--overlap_bool=yes--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,5,100000,6.4932090815261745e-09,2.1714583908760687e-06,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,128,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=128--overlap_bool=yes--w_scaling=0.01--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10,0.01
40,5,100000,6.95953850105013e-10,5.6648290502891996e-09,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,256,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=256--overlap_bool=yes--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,5,100000,7.076510932790825e-09,5.8423342608193713e-08,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,256,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=256--overlap_bool=yes--w_scaling=0.01--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10,0.01
