status,setting,seed,inp_dim,alpha_requested,n_train,alpha,n_test,c_pt,lambda_pt,gamma_reinit,rho_pt,a_pt,rho_ft,omega,ft_teacher_norm,save_folder,lr,epochs,test_every_n_epochs,log_every_n_epochs,no_tuning,threshold,stop_pred_mse,stop_beta_rate,stop_grad_norm,lr_decay,lr_decay_interval,stop_reason,final_epoch,final_test_pred_mse,final_param_mse,final_grad_norm,final_beta_update_rate,final_beta_l1,final_beta_l2,final_active_frac,beta0_l2,empirical_omega,n_ov,n_new,n_ptonly,n_none,wall_s
ok,ptft,10,2000,0.01,20,0.01,10000,0.001,0.0,0.0,0.1,1.0,0.1,0.0,unit_total_var,,0.5,5000000,5000,50000,True,1e-05,,0.0,0.0,1.0,2000,train_pred_mse,5000,1.1036233593769775,1.1155507864793013,3.0666625655740573e-16,99.05802852778756,151.1900497932204,13.916266102258849,1.0,0.0,0.0,0,200,200,1600,3.052257537841797
ok,ptft,11,2000,0.01,20,0.01,10000,0.001,0.0,0.0,0.1,1.0,0.1,0.0,unit_total_var,,0.5,5000000,5000,50000,True,1e-05,,0.0,0.0,1.0,2000,train_pred_mse,5000,1.1395119334327792,1.1146324880719016,7.171719451187725e-16,108.1635483300586,178.01013930552244,17.144242665454705,0.999,0.0,0.0,0,200,200,1600,2.9389233589172363
ok,ptft,12,2000,0.01,20,0.01,10000,0.001,0.0,0.0,0.1,1.0,0.1,0.0,unit_total_var,,0.5,5000000,5000,50000,True,1e-05,,0.0,0.0,1.0,2000,train_pred_mse,5000,0.9578539500728668,0.9534132083925478,4.2467597579814783e-16,88.65462182006142,125.76178254211538,10.848439743208436,0.9995,0.0,0.0,0,200,200,1600,3.0530004501342773
ok,ptft,13,2000,0.01,20,0.01,10000,0.001,0.0,0.0,0.1,1.0,0.1,0.0,unit_total_var,,0.5,5000000,5000,50000,True,1e-05,,0.0,0.0,1.0,2000,train_pred_mse,5000,0.896382898637694,0.8962090261756617,4.119640792502647e-16,89.38801764149157,101.40239221132089,8.983309718336965,0.9985,0.0,0.0,0,200,200,1600,3.1734914779663086
ok,ptft,14,2000,0.01,20,0.01,10000,0.001,0.0,0.0,0.1,1.0,0.1,0.0,unit_total_var,,0.5,5000000,5000,50000,True,1e-05,,0.0,0.0,1.0,2000,train_pred_mse,5000,1.0560218818989702,1.0708213105001765,1.933644784394526e-16,109.06409884133032,132.01217245555665,13.280226439030244,1.0,0.0,0.0,0,200,200,1600,2.995348691940308
ok,ptft,15,2000,0.01,20,0.01,10000,0.001,0.0,0.0,0.1,1.0,0.1,0.0,unit_total_var,,0.5,5000000,5000,50000,True,1e-05,,0.0,0.0,1.0,2000,train_pred_mse,5000,1.229256420365702,1.2009059557851165,5.55324664062787e-16,98.9443179845699,174.5236518054552,16.14924724920974,0.9995,0.0,0.0,0,200,200,1600,2.989965915679932
ok,ptft,16,2000,0.01,20,0.01,10000,0.001,0.0,0.0,0.1,1.0,0.1,0.0,unit_total_var,,0.5,5000000,5000,50000,True,1e-05,,0.0,0.0,1.0,2000,train_pred_mse,5000,0.9625308122630052,0.9549104760392502,4.030248172365679e-16,107.59568538931994,151.9898732590427,14.123814371878645,1.0,0.0,0.0,0,200,200,1600,3.048224925994873
ok,ptft,17,2000,0.01,20,0.01,10000,0.001,0.0,0.0,0.1,1.0,0.1,0.0,unit_total_var,,0.5,5000000,5000,50000,True,1e-05,,0.0,0.0,1.0,2000,train_pred_mse,5000,1.0462651595720145,1.0592382386475496,4.2445575850122253e-16,116.43224653235232,175.3077414434134,16.333414742350957,1.0,0.0,0.0,0,200,200,1600,2.916968822479248
ok,ptft,18,2000,0.01,20,0.01,10000,0.001,0.0,0.0,0.1,1.0,0.1,0.0,unit_total_var,,0.5,5000000,5000,50000,True,1e-05,,0.0,0.0,1.0,2000,train_pred_mse,5000,1.0424504218011217,1.0552443462526226,5.096341973900499e-16,117.9231865359132,166.39351196236476,16.25391095929425,1.0,0.0,0.0,0,200,200,1600,3.1787123680114746
ok,ptft,19,2000,0.01,20,0.01,10000,0.001,0.0,0.0,0.1,1.0,0.1,0.0,unit_total_var,,0.5,5000000,5000,50000,True,1e-05,,0.0,0.0,1.0,2000,train_pred_mse,5000,0.9094121038066434,0.9079861862300916,3.864271309071469e-16,95.7921346023062,114.70543747021024,10.539297768349533,1.0,0.0,0.0,0,200,200,1600,2.85797381401062
