curve,sigma0_pt,alpha,mse
oracle,0.0,0.01,0.9195374170791875
oracle,0.0,0.01830508474576271,0.8454345167652857
oracle,0.0,0.02661016949152542,0.7697837002923048
oracle,0.0,0.03491525423728813,0.6924654047347598
oracle,0.0,0.043220338983050846,0.6137490740157605
oracle,0.0,0.05152542372881356,0.5345531636081235
oracle,0.0,0.059830508474576265,0.45657996316783256
oracle,0.0,0.06813559322033898,0.38191162584200267
oracle,0.0,0.07644067796610168,0.31242858799877676
oracle,0.0,0.08474576271186439,0.24948913120643107
oracle,0.0,0.09305084745762711,0.19394805383353078
oracle,0.0,0.10135593220338981,0.14628063503269026
oracle,0.0,0.10966101694915252,0.10664056973229746
oracle,0.0,0.11796610169491524,0.07489721914959063
oracle,0.0,0.12627118644067795,0.05060404347244245
oracle,0.0,0.13457627118644067,0.03294769857188904
oracle,0.0,0.14288135593220339,0.020801785735709892
oracle,0.0,0.1511864406779661,0.012879612241406721
oracle,0.0,0.1594915254237288,0.007935501227083915
oracle,0.0,0.16779661016949152,0.004937229842352393
oracle,0.0,0.17610169491525424,0.0031378693552434
oracle,0.0,0.18440677966101693,0.002051356373697705
oracle,0.0,0.19271186440677965,0.001383281369349827
oracle,0.0,0.20101694915254237,0.0009620327542625604
oracle,0.0,0.20932203389830506,0.0006888445441378733
oracle,0.0,0.21762711864406778,0.0005065437309004604
oracle,0.0,0.2259322033898305,0.0003815135553350855
oracle,0.0,0.23423728813559322,0.0002935359774134669
oracle,0.0,0.2425423728813559,0.00023015942270104768
oracle,0.0,0.25084745762711863,0.00018352254818232149
oracle,0.0,0.2591525423728813,0.00014852957067746316
oracle,0.0,0.26745762711864407,0.00012181292392853083
oracle,0.0,0.27576271186440676,0.00010109091421245709
oracle,0.0,0.28406779661016945,8.478753943492923e-05
oracle,0.0,0.2923728813559322,7.17918106540925e-05
oracle,0.0,0.3006779661016949,6.131000227639307e-05
oracle,0.0,0.3089830508474576,5.27663303442795e-05
oracle,0.0,0.31728813559322033,4.5734141519884054e-05
oracle,0.0,0.325593220338983,3.9891269152804585e-05
oracle,0.0,0.3338983050847457,3.4998936857302706e-05
oracle,0.0,0.34220338983050846,3.087026826272562e-05
oracle,0.0,0.35050847457627116,2.736284749495032e-05
oracle,0.0,0.35881355932203385,2.436285537956693e-05
oracle,0.0,0.3671186440677966,2.178040138632514e-05
oracle,0.0,0.3754237288135593,1.9546891917358687e-05
oracle,0.0,0.383728813559322,1.7604284316628634e-05
oracle,0.0,0.3920338983050847,1.5907457145069533e-05
oracle,0.0,0.4003389830508474,1.441689472553164e-05
oracle,0.0,0.4086440677966101,1.3102742116292066e-05
oracle,0.0,0.41694915254237286,1.1940385641079275e-05
oracle,0.0,0.42525423728813555,1.0907709581020148e-05
oracle,0.0,0.4335593220338983,9.986252254416193e-06
oracle,0.0,0.441864406779661,9.162765021675823e-06
oracle,0.0,0.4501694915254237,8.423870726441434e-06
oracle,0.0,0.45847457627118643,7.758927326311369e-06
oracle,0.0,0.4667796610169491,7.158866427228826e-06
oracle,0.0,0.4750847457627118,6.61592720735972e-06
oracle,0.0,0.48338983050847456,6.123450800936797e-06
oracle,0.0,0.49169491525423725,5.676320117589989e-06
oracle,0.0,0.5,5.2683061730725605e-06
tiny_noise,1e-06,0.01,0.9191746641947719
tiny_noise,1e-06,0.01830508474576271,0.8447405937797783
tiny_noise,1e-06,0.02661016949152542,0.7690648871288098
tiny_noise,1e-06,0.03491525423728813,0.6924069697608115
tiny_noise,1e-06,0.043220338983050846,0.615589224334981
tiny_noise,1e-06,0.05152542372881356,0.5399306820606707
tiny_noise,1e-06,0.059830508474576265,0.4669823309390986
tiny_noise,1e-06,0.06813559322033898,0.39811738897356475
tiny_noise,1e-06,0.07644067796610168,0.3343373028068178
tiny_noise,1e-06,0.08474576271186439,0.2762911080321962
tiny_noise,1e-06,0.09305084745762711,0.22436537606456758
tiny_noise,1e-06,0.10135593220338981,0.17876556850591252
tiny_noise,1e-06,0.10966101694915252,0.13954415125877392
tiny_noise,1e-06,0.11796610169491524,0.10659944012176238
