alpha_pt,alpha,mse_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,reliability_score_db,s2_pt,gp_pt,pt_oracle
0.01,0.01,1.073176904901123,1.0731769049093816,1.073176904901123,3.342059962108124e-11,7.89492233366218e-07,0.0180633942205125,0.016831702339118793,0.07309915446917348,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.03518987341772152,1.0692740843557715,1.0692740912945695,1.0692740843557715,2.818249977831755e-08,9.236358025077607e-07,0.01683598775139125,0.01574524997632837,0.06838075180906716,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.06037974683544304,1.0224526382795909,1.0224526588064005,1.0224526382795909,8.718917346439703e-08,8.52211353929988e-07,0.015160411559781636,0.014827495174046393,0.06439499334535445,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.08556962025316454,0.9547436955914383,0.9547437477126994,0.9547436955914383,2.370895515191318e-07,9.593824525921946e-07,0.013389844424392994,0.014024543431102042,0.06090781823340115,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.11075949367088607,0.8751664356128643,0.8751665340201442,0.8751664356128643,4.883383832865462e-07,9.312276860740099e-07,0.011675768260928294,0.013341197497767325,0.05794008455261818,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.1359493670886076,0.7888120548977616,0.7888122160827205,0.7888120548977616,8.87432317853154e-07,9.450152855805527e-07,0.010131725287978083,0.01284428302669799,0.05578201242498534,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.1611392405063291,0.6993687003942828,0.6993689566296919,0.6993687003942828,1.5911722071049184e-06,9.883269891375335e-07,0.00873476941973012,0.012489505771141492,0.05424123438105567,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.18632911392405063,0.6095183428824738,0.609518722391266,0.6095183428824738,2.704078144954991e-06,9.434099772498428e-07,0.007418002521953479,0.012170269539179077,0.05285480904140704,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.21151898734177216,0.5215169249404397,0.5215174651374354,0.5215169249404397,4.498501230187912e-06,9.591517589058185e-07,0.006154687985895746,0.011801511497634804,0.05125331321540576,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.23670886075949368,0.43730349461884943,0.4373042485009799,0.43730349461884943,7.486941473899833e-06,9.316345541687809e-07,0.004978856211347696,0.011385356560407163,0.04944597528685817,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.2618987341772152,0.3586702852428091,0.3586713109459718,0.3586702852428091,1.2419668007801477e-05,9.509639031790584e-07,0.003928672385044404,0.01095343703308126,0.047570172613419164,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.2870886075949367,0.2871705878109139,0.28717195321404404,0.2871705878109139,2.064924683864433e-05,9.299857592903749e-07,0.003026103571586519,0.010537651486715075,0.04576443892899954,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.3122784810126582,0.22393159616303865,0.22393342219970136,0.22393159616303865,3.541413657526249e-05,9.97396612301138e-07,0.002282208622878823,0.010191543587342661,0.04426131142059389,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.33746835443037976,0.16970116965615345,0.16970352782184805,0.16970116965615345,6.034909688601431e-05,9.794773806470758e-07,0.00168641078269439,0.00993753187506825,0.04315815257079816,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.36265822784810126,0.12481762720062066,0.12482056591453294,0.12481762720062066,0.00010224935696889759,9.70820037748954e-07,0.0012242404845285325,0.00980823391683931,0.0425966186729963,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.3878481012658228,0.08906783866030096,0.08907152193091994,0.08906783866030096,0.00017959243820087067,9.812617934590318e-07,0.0008715956982655429,0.009785751078902376,0.04249897694846094,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.4130379746835443,0.061774387225584294,0.06177881449159804,0.061774387225584294,0.0003112403683278586,9.663400058201876e-07,0.0006036308991680168,0.009771540055326019,0.04243725925724685,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.4382278481012658,0.04180250261917123,0.04180785105240165,0.04180250261917123,0.0005556237810182552,9.954205934109561e-07,0.00040483420122111753,0.009684448917071646,0.04205902724958138,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.46341772151898736,0.027759827334782324,0.02776591736657237,0.027759827334782324,0.0009526633909597848,9.676872462505148e-07,0.0002646095676327633,0.00953210423255099,0.04139740269123526,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.48860759493670886,0.01820564164100935,0.018212614400481247,0.01820564164100935,0.0016630291114658746,9.961924236148723e-07,0.00016974909956658568,0.009323983351633989,0.04049354518972428,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.5137974683544304,0.011897739988522943,0.01190390759626815,0.011897739988522943,0.0022507333248213968,9.873322912440363e-07,0.00010815726555354571,0.009090572298426317,0.03947985386549109,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.5389873417721519,0.007789057662785802,0.007794504491387443,0.007789057662785802,0.003035926803498512,9.951302606045487e-07,6.896204691696528e-05,0.008853708613103346,0.038451167950500756,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.5641772151898734,0.00512253475865177,0.005127175314113126,0.00512253475865177,0.00393253614635114,9.753025688036265e-07,4.40942398619743e-05,0.008607894712183413,0.03738361174305435,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.5893670886075949,0.0033923362884845957,0.0033963542045074555,0.0033923362884845957,0.005140782196590976,9.766181432516174e-07,2.8320215825226766e-05,0.008348292567974681,0.036256173955853316,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.6145569620253164,0.0022646460668511136,0.0022681157413203808,0.0022646460668511136,0.006648753382965111,9.889156797025789e-07,1.8309289931866815e-05,0.00808483506534204,0.035111992559759636,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.639746835443038,0.0015243790451524664,0.001527401453581254,0.0015243790451524664,0.00860229451221528,9.940406948162617e-07,1.1924946430104185e-05,0.007822822327573696,0.03397408569774808,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.6649367088607595,0.0010340031616568694,0.0010366486516728282,0.0010340031616568694,0.011097204596069332,9.85138947251496e-07,7.823168701355978e-06,0.007565904043098149,0.03285830376527029,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.690126582278481,0.0007056110480855711,0.0007079392558921704,0.0007056110480855711,0.01430622899831846,9.859415280553951e-07,5.165112469330437e-06,0.007320056117806211,0.031790599791853766,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.7153164556962025,0.00048376780111420743,0.0004858365494776181,0.00048376780111420743,0.018532246920059947,9.764989838314392e-07,3.4273506614189654e-06,0.0070847019035271425,0.03076846942631302,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.740506329113924,0.0003324792617581109,0.00033434998580922793,0.0003324792617581109,0.02436747538978068,9.865446915693216e-07,2.2813029365007944e-06,0.0068614894187310664,0.029799069921924527,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.7656962025316456,0.0002284819873216623,0.0002301853171857448,0.0002284819873216623,0.03225650288367632,9.929701671653607e-07,1.5191426689334214e-06,0.00664885090829824,0.02887559260471349,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.7908860759493671,0.0001565225057616711,0.00015810762106625967,0.0001565225057616711,0.04376012312042121,9.988080330531127e-07,1.0089143765112342e-06,0.006445810278858282,0.02799379835503412,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
