alpha,test_pred_mse_mean,test_pred_mse_median,test_pred_mse_q25,test_pred_mse_q75,test_pred_mse_count,param_mse_mean,param_mse_median,param_mse_q25,param_mse_q75,train_pred_mse_median,success_count,total_count,max_train_pred_mse_all,param_mse_mean_db,param_mse_median_db,param_mse_q25_db,param_mse_q75_db,pred_mse_from_param_mean,pred_mse_from_param_median,pred_mse_from_param_q25,pred_mse_from_param_q75,pred_mse_from_param_mean_db,pred_mse_from_param_median_db,pred_mse_from_param_q25_db,pred_mse_from_param_q75_db
0.05,0.0830229899535576,0.0842698886990547,0.0603464664891362,0.1023415941745042,6,0.8312046130498251,0.8480725586414337,0.602997362613678,1.0396233797073364,9.89024400571692e-13,6,6,9.993228033272628e-13,-0.8029205518075766,-0.7156698917073789,-2.196845873703474,0.1687603762746786,0.0831204613049825,0.0848072558641433,0.0602997362613678,0.1039623379707336,-10.802920551807528,-10.715669891707334,-12.19684587370341,-9.831239623725285
0.1,0.0507397024581829,0.0535710453987121,0.0391453336924314,0.0631775707006454,6,0.5084936395287514,0.5447318106889725,0.3908899277448654,0.636749267578125,4.012453997531695e-12,6,6,4.932820645009439e-12,-2.9371447506147503,-2.6381726250308284,-4.079455201054404,-1.960315459119896,0.0508493639528751,0.0544731810688972,0.0390889927744865,0.0636749267578125,-12.937144750614673,-12.638172625030755,-14.079455201054303,-11.960315459119837
0.15,0.0244109424141546,0.0263061178848147,0.0157682888675481,0.0336170517839491,6,0.2440118628243605,0.2633388787508011,0.1569543369114399,0.3369179591536522,9.957196652976563e-06,1,6,9.984494681702928e-06,-6.125890595878087,-5.794850179146054,-8.042266795135726,-4.724758386672837,0.024401186282436,0.0263338878750801,0.0156954336911439,0.0336917959153652,-16.125890595877927,-15.794850179145904,-18.04226679513548,-14.72475838667272
0.2,0.0082895982971725,0.0090772742405533,0.0058699462097138,0.0102706300094723,6,0.0831507171193758,0.0913257636129856,0.058341160416603,0.1025680564343929,1.0650635928755037e-08,0,6,9.781313536905145e-08,-10.801340009285845,-10.394066877826766,-12.340249369298188,-9.88987873866751,0.0083150717119375,0.0091325763612985,0.0058341160416603,0.0102568056434392,-20.801340009285376,-20.39406687782634,-22.340249369297517,-19.88987873866713
0.25,0.0022012674987005,0.0015812147757969,0.0011286134831607,0.0035003647499252,6,0.0220844242721796,0.0159874525852501,0.0112717477604746,0.0352164003998041,9.994726951845225e-06,0,6,9.997643246606458e-06,-16.55913918057125,-17.962207305191907,-19.48008738445477,-14.532550369659498,0.0022084424272179,0.001598745258525,0.0011271747760474,0.0035216400399804,-26.55913918056948,-27.962207305189462,-29.480087384451306,-24.532550369658388
0.3,0.000581536279545,0.0005624891200568,0.0003716790233738,0.0007753815152682,6,0.0058333287791659,0.0056581762619316,0.0037245552521198,0.007765942486003,1.421442266291706e-05,0,6,2.4483453671564348e-05,-22.34083545093389,-22.47323527647434,-24.28925578776466,-21.09805830130892,0.0005833328779165,0.0005658176261931,0.0003724555252119,0.0007765942486003,-32.34083545092719,-32.47323527646743,-34.289255787754165,-31.09805830130388
0.35,0.0001897417138631,0.0001947207565535,0.0001049061393132,0.0002275145307066,6,0.0019085146001695,0.0019736851099878,0.0010534921893849,0.0022777491249144,9.998681889555884e-06,0,6,9.999022040574346e-06,-27.19304513341694,-27.04722135305148,-29.773686799127187,-26.42494111540868,0.0001908514600169,0.0001973685109987,0.0001053492189384,0.0002277749124914,-37.19304513339647,-37.04722135303168,-39.773686799090086,-36.42494111539152
0.4,7.848455425119027e-05,6.836902502982412e-05,3.341435967740836e-05,0.0001145298665505,6,0.0007905127228392,0.0006951482791919,0.0003396185129531,0.0011536001984495,1.187133304370036e-05,0,6,5.143250018591061e-05,-31.020911359596933,-31.579225479758453,-34.69008643944372,-29.379446779142185,7.905127228392e-05,6.951482791919e-05,3.3961851295310004e-05,0.0001153600198449,-41.02091135954748,-41.579225479702224,-44.690086439328624,-39.3794467791083
0.45,3.335762448841706e-05,3.390802703506779e-05,2.311042089786497e-05,4.127266674913699e-05,6,0.0003345825777311,0.0003419052081881,0.00023346335729,0.0004141426179558,9.999471785704372e-06,0,6,9.999684152717236e-06,-34.754966772164366,-34.660942836124164,-36.31781273449504,-33.82850075483855,3.345825777311e-05,3.419052081881e-05,2.3346335729e-05,4.1414261795580006e-05,-44.75496677204755,-44.660942836009845,-46.31781273432762,-43.82850075474417
0.5,1.95936328661143e-05,1.7852485143521335e-05,1.3789952390652616e-05,2.4569700599386124e-05,6,0.0001964418333955,0.0001804136845748,0.0001388617856719,0.0002465821307851,9.999533176596742e-06,0,6,9.99965595838148e-06,-37.06766021240355,-37.43730523832022,-38.57417254296946,-36.08038398876453,1.964418333955e-05,1.804136845748e-05,1.388617856719e-05,2.4658213078510003e-05,-47.067660212204586,-47.43730523810357,-48.574172542687975,-46.08038398860601
