alpha,test_pred_mse_mean,test_pred_mse_median,test_pred_mse_q25,test_pred_mse_q75,test_pred_mse_count,param_mse_mean,param_mse_median,param_mse_q25,param_mse_q75,param_mse_mean_db,param_mse_median_db,param_mse_q25_db,param_mse_q75_db,pred_mse_from_param_mean,pred_mse_from_param_median,pred_mse_from_param_q25,pred_mse_from_param_q75,pred_mse_from_param_mean_db,pred_mse_from_param_median_db,pred_mse_from_param_q25_db,pred_mse_from_param_q75_db
0.008,0.0786517158150672,0.0651497244834899,0.0627696886658668,0.0913855358958244,5,0.7932672500610352,0.6556509137153625,0.6555113196372986,0.9319300055503844,-1.005804751369542,-1.8332732922128876,-1.834198043345836,-0.3061670496872414,0.0793267250061035,0.0655650913715362,0.0655511319637298,0.0931930005550384,-11.005804751369492,-11.833273292212828,-11.834198043345776,-10.3061670496872
0.016,0.0974002543836832,0.0924113020300865,0.081607649102807,0.1156074553728103,20,0.9752194464206696,0.9366892278194427,0.8287580758333206,1.1534571051597595,-0.1089764722869651,-0.2840447424573305,-0.8157222658384025,0.6200144858506903,0.0975219446420669,0.0936689227819442,0.082875807583332,0.1153457105159759,-10.108976472286926,-10.284044742457288,-10.815722265838357,-9.379985514149276
0.032,0.0986123466864228,0.0963294059038162,0.0824527498334646,0.1160171367228031,20,0.9867848217487336,0.9685386419296264,0.8385297507047653,1.160355031490326,-0.0577753924053569,-0.1388304748795113,-0.7648152418764892,0.6459088976693207,0.0986784821748733,0.0968538641929626,0.0838529750704765,0.1160355031490326,-10.057775392405317,-10.13883047487947,-10.76481524187644,-9.354091102330646
0.064,0.0916909784078598,0.0874119699001312,0.0767828729003667,0.1104786545038223,20,0.9182979330420494,0.8839914202690125,0.7775949239730835,1.0979752242565155,-0.3701639321697013,-0.5355195008636799,-1.092465830839355,0.4059254039633359,0.0918297933042049,0.0883991420269012,0.0777594923973083,0.1097975224256515,-10.37016393216966,-10.535519500863636,-11.092465830839304,-9.594074596036627
0.1,0.0845143539831042,0.082012053579092,0.0706709809601306,0.1046706549823284,20,0.8459283456206321,0.8231448233127594,0.7154271006584167,1.0418785512447355,-0.7266642232681348,-0.8452374870956458,-1.4543461263059945,0.1781709746805131,0.0845928345620632,0.0823144823312759,0.0715427100658416,0.1041878551244735,-10.726664223268088,-10.8452374870956,-11.45434612630594,-9.821829025319447
0.15,0.084683951921761,0.0808480009436607,0.072116969153285,0.1023656595498323,20,0.8479021221399308,0.8082139790058136,0.7274720221757889,1.0159322321414948,-0.7165427777617002,-0.9247364219752208,-1.3818370453905464,0.0686473925835056,0.084790212213993,0.0808213979005813,0.0727472022175789,0.1015932232141494,-10.716542777761656,-10.924736421975172,-11.381837045390492,-9.931352607416455
0.2,0.0679032433778047,0.0645559951663017,0.0560168409720063,0.0851194579154253,20,0.6799713104963303,0.6557758450508118,0.5690330564975739,0.8448519855737686,-1.6750941075843906,-1.8324458424235055,-2.448625036620728,-0.7321937090732128,0.067997131049633,0.0655775845050811,0.0569033056497573,0.0844851985573768,-11.675094107584332,-11.832445842423446,-12.44862503662066,-10.732193709073163
0.25,0.0539882971905171,0.0516318716108799,0.0443796012550592,0.0668350085616111,20,0.5405778780579567,0.5213797390460968,0.4512370377779007,0.6601483970880508,-2.671417308051379,-2.828458496376661,-3.455952604378314,-1.803584268942256,0.0540577878057956,0.0521379739046096,0.04512370377779,0.066014839708805,-12.671417308051309,-12.828458496376587,-13.455952604378227,-11.803584268942195
0.3,0.0426540676504373,0.0402199700474739,0.035768361762166,0.0516234086826443,20,0.4271541275084018,0.404750645160675,0.3617082089185714,0.5120968371629715,-3.694153927764663,-3.9281245032135033,-4.416416348723767,-2.90647906467713,0.0427154127508401,0.0404750645160675,0.0361708208918571,0.0512096837162971,-13.694153927764573,-13.928124503213406,-14.41641634872366,-12.906479064677054
0.35,0.0334525722078979,0.0312261618673801,0.0264977565966546,0.0416031051427125,20,0.3352515332400799,0.3140163719654083,0.268154114484787,0.4181191176176071,-4.74629227268507,-5.030477083953288,-5.716155349517788,-3.786999747934737,0.0335251533240079,0.0314016371965408,0.0268154114484787,0.0418119117617607,-14.746292272684954,-15.030477083953164,-15.716155349517642,-13.786999747934644
