alpha,test_pred_mse_mean,test_pred_mse_median,test_pred_mse_q25,test_pred_mse_q75,test_pred_mse_count,param_mse_mean,param_mse_median,param_mse_q25,param_mse_q75,param_mse_mean_db,param_mse_median_db,param_mse_q25_db,param_mse_q75_db,pred_mse_from_param_mean,pred_mse_from_param_median,pred_mse_from_param_q25,pred_mse_from_param_q75,pred_mse_from_param_mean_db,pred_mse_from_param_median_db,pred_mse_from_param_q25_db,pred_mse_from_param_q75_db
0.008,0.0717281090716521,0.0677458718419075,0.0613040272146463,0.0801610723137855,3,0.7236566344896952,0.6789190769195557,0.6126671433448792,0.8122773468494415,-1.404674519229577,-1.68181987931156,-2.1277540977190315,-0.9029565839370997,0.0723656634489695,0.0678919076919555,0.0612667143344879,0.0812277346849441,-11.404674519229523,-11.681819879311504,-12.127754097718968,-10.902956583937051
0.016,0.1028034791350364,0.0931445620954036,0.0708858929574489,0.1353545673191547,10,1.0303951680660248,0.9450287520885468,0.711816668510437,1.3434258699417114,0.1300381344044363,-0.2455497806910349,-1.4763184640052596,1.282137071194076,0.1030395168066024,0.0945028752088546,0.0711816668510437,0.1343425869941711,-9.869961865595526,-10.245549780690991,-11.476318464005203,-8.717862928805895
0.032,0.0970776785165071,0.0895341075956821,0.0633905874565243,0.127350989729166,10,0.9744185745716096,0.9095378518104552,0.636642187833786,1.295958161354065,-0.1125444601962773,-0.4117922239451319,-1.961045857333297,1.1259098102040734,0.0974418574571609,0.0909537851810455,0.0636642187833786,0.1295958161354065,-10.112544460196238,-10.411792223945088,-11.961045857333234,-8.874090189795897
0.064,0.0834510199725628,0.0799918361008167,0.0579538205638527,0.1045016199350357,10,0.8367476671934128,0.801302582025528,0.5813590288162231,1.043547406792641,-0.7740548975768453,-0.962034578359862,-2.3555557832069125,0.185121831961921,0.0836747667193412,0.0801302582025528,0.0581359028816223,0.104354740679264,-10.7740548975768,-10.962034578359814,-12.355555783206844,-9.814878168038042
0.1,0.0666172549128532,0.0628183856606483,0.0552764637395739,0.0721672158688306,10,0.6664224296808243,0.6355454325675964,0.5532526969909668,0.7181433886289597,-1.7625039437035,-1.968533980475957,-2.570764603009481,-1.4378883337186372,0.0666422429680824,0.0635545432567596,0.0553252696990966,0.0718143388628959,-11.76250394370344,-11.968533980475897,-12.57076460300941,-11.437888333718584
0.15,0.0444590423256158,0.03903603926301,0.0251252115704119,0.0505327377468347,10,0.4436699241399765,0.3833999633789062,0.2525958865880966,0.5047938898205757,-3.5294001059549736,-4.163479329403226,-5.975737260159871,-2.968859105651642,0.0443669924139976,0.0383399963378906,0.0252595886588096,0.0504793889820575,-13.529400105954885,-14.163479329403124,-15.975737260159717,-12.968859105651564
0.2,0.0242843481246382,0.0196834811940789,0.0102750544901937,0.0385922701098024,10,0.2433577520772814,0.198479525744915,0.1038978733122348,0.3873234055936336,-6.137548148991509,-7.022842864555776,-9.8339334193477,-4.119262582087877,0.0243357752077281,0.0198479525744915,0.0103897873312234,0.0387323405593633,-16.137548148991346,-17.022842864555578,-19.833933419347325,-14.119262582087778
0.25,0.0066681491036433,0.0044862163485959,0.0017606507753953,0.0091637569712474,10,0.0668501090724021,0.0451333094388246,0.0175962722860276,0.0898254606872797,-11.748978798080678,-13.455028202949595,-17.54579326338003,-10.46600546754197,0.0066850109072402,0.0045133309438824,0.0017596272286027,0.0089825460687279,-21.74897879808009,-23.455028202948725,-27.54579326337781,-20.46600546754153
0.3,0.0012556285830214,0.00104767960147,0.0005201313033467,0.001517921074992,10,0.0125433890032581,0.010573633480817,0.005207453854382,0.0151979520451277,-19.01585108914713,-19.75775747838326,-22.833745698440904,-18.18214930175121,0.0012543389003258,0.0010573633480817,0.0005207453854382,0.0015197952045127,-29.01585108914401,-29.75775747837956,-32.8337456984334,-28.18214930174863
0.35,0.0002513493931473,0.0002370917645748,0.0001273746256629,0.0003377569082658,10,0.0025187433173414,0.0024055506801232,0.0012729360314551,0.0033792376634664,-25.988160887709626,-26.187854889520526,-28.951934202926605,-24.711812630038125,0.0002518743317341,0.0002405550680123,0.0001272936031455,0.0003379237663466,-35.9881608876941,-36.18785488950428,-38.9519342028959,-34.71181263002656
