alpha,n_train,seed,test_pred_mse,param_mse,train_pred_mse,epoch
0.2,200,0,0.014346201904118061,0.1451079398393631,1.0230539082556334e-08,199999
0.2,200,1,0.00491765420883894,0.048660747706890106,2.480231131585242e-08,199999
0.2,200,2,0.008726822212338448,0.08738239854574203,1.0491777224785892e-08,199999
0.2,200,3,0.00942772626876831,0.09526912868022919,1.0809494632724181e-08,199999
0.2,200,4,0.0017675872659310699,0.017483055591583252,9.781313536905145e-08,199999
0.2,200,5,0.01055159792304039,0.10500103235244751,1.0368758296408487e-08,199999
0.2,200,6,0.019056903198361397,0.18555186688899994,7.506501198406568e-09,199999
0.2,200,7,0.007752235513180494,0.07784868031740189,1.5920955220849464e-08,199999
0.2,200,8,0.02473141811788082,0.24909713864326477,7.594012529921201e-09,199999
0.2,200,9,0.005257021635770798,0.05317945033311844,5.488267262876434e-08,199999
0.3,300,0,0.0005717609892599285,0.005762036889791489,2.4483453671564348e-05,199999
0.3,300,1,0.0003111662808805704,0.0031146351248025894,1.1655498383333907e-05,199999
0.3,300,2,0.0005532172508537769,0.005554315634071827,9.583576684235595e-06,199999
0.3,300,3,0.0010915034217759967,0.010955643840134144,9.360472176922485e-06,199999
0.3,300,4,0.0001183147105621174,0.0011794301681220531,1.677334694250021e-05,199999
0.3,300,5,0.0008432550239376724,0.008433911018073559,2.1735550035373308e-05,199999
0.3,300,6,0.001266741892322898,0.01246971171349287,1.671277823334094e-05,199999
0.3,300,7,0.0004707403713837266,0.004709200467914343,2.426738319627475e-05,199999
0.3,300,8,0.0008222268079407513,0.008309699594974518,1.6446379959234037e-05,199999
0.3,300,9,0.00020935959764756262,0.0020917891524732113,1.7416812625015154e-05,199999
0.4,400,0,6.062953980290331e-05,0.0006151116103865206,9.321154692543132e-08,199999
0.4,400,1,2.4286488041980192e-05,0.000247787480475381,1.1527066590133472e-07,199999
0.4,400,2,7.610851025674492e-05,0.0007751849479973316,4.98047931785095e-08,199999
0.4,400,3,0.00015820316912140697,0.0015799839748069644,5.143250018591061e-05,199999
0.4,400,4,2.434263296891004e-05,0.000245269708102569,2.3627395421499386e-05,199999
0.4,400,5,0.00012733698531519622,0.0012797386152669787,4.3230964365648106e-05,199999
0.4,400,6,0.0001416700251866132,0.0013885386288166046,4.9229161959374323e-05,199999
0.4,400,7,7.77787936385721e-05,0.0007844101055525243,4.6822526201140136e-05,199999
0.4,400,8,0.00010174093040404841,0.001031655934639275,4.1850045818137005e-05,199999
0.4,400,9,3.253009344916791e-05,0.00032887200359255075,2.8681328331003897e-05,199999
0.6,600,0,2.0268556909286417e-05,0.00020433150348253548,3.9017770177451894e-05,199999
0.6,600,1,1.2476649317250121e-05,0.00012601178605109453,3.0006181987118907e-05,199999
0.6,600,2,2.310085983481258e-05,0.0002309553965460509,4.197674570605159e-05,199999
0.6,600,3,3.475060293567367e-05,0.00034246582072228193,5.9741767472587526e-05,199999
0.6,600,4,7.654442015336826e-06,7.671233470318839e-05,1.9119546777801588e-05,199999
0.6,600,5,1.3994598702993244e-05,0.00014191742229741067,3.235285839764401e-05,199999
0.6,600,6,2.2423530026571825e-05,0.00021802796982228756,4.213169086142443e-05,199999
0.6,600,7,1.601404983375687e-05,0.00016275259258691221,3.674467370728962e-05,199999
0.6,600,8,1.604334102012217e-05,0.00016070270794443786,4.140450255363248e-05,199999
0.6,600,9,6.6701786636258475e-06,6.606067472603172e-05,2.1289903088472784e-05,199999
0.8,800,0,9.968377526092809e-06,0.00010085768735734746,3.042571734113153e-05,199999
0.8,800,1,5.426945335784694e-06,5.461165710585192e-05,1.8612125131767243e-05,199999
0.8,800,2,1.1645443919405807e-05,0.00011738565808627754,3.1881631002761424e-05,199999
0.8,800,3,1.8443193766870536e-05,0.0001823126949602738,5.568181586568244e-05,199999
0.8,800,4,3.7545760278590024e-06,3.7496924051083624e-05,1.3491416211763863e-05,199999
0.8,800,5,6.745511200278997e-06,6.780840340070426e-05,2.369073627050966e-05,199999
0.8,800,6,1.0410994946141727e-05,0.00010164939158130437,3.555843068170361e-05,199999
0.8,800,7,5.537760443985462e-06,5.554877134272829e-05,1.9648477973532863e-05,199999
0.8,800,8,7.51841434976086e-06,7.514499156968668e-05,2.8017220756737515e-05,199999
0.8,800,9,4.544526291283546e-06,4.508728670771234e-05,1.9333658201503567e-05,199999
1.024,1024,0,6.217271675268421e-06,6.254831532714888e-05,2.284978108946234e-05,199999
1.024,1024,1,3.3081460060202517e-06,3.3641659683780745e-05,1.3117887647240423e-05,199999
1.024,1024,2,8.520312803739216e-06,8.465618157060817e-05,3.00436786346836e-05,199999
1.024,1024,3,1.3109739484207239e-05,0.00012881348084192723,5.7637640566099435e-05,199999
1.024,1024,4,2.1343546450225404e-06,2.1632138668792322e-05,8.914028512663208e-06,199999
1.024,1024,5,4.56651014246745e-06,4.582034671329893e-05,1.7062960978364572e-05,199999
