alpha,n_train,seed,test_pred_mse,param_mse,train_pred_mse,is_success
0.05,50,0,0.08676408976316452,0.8816133737564087,9.906608953308416e-13,True
0.05,50,1,0.05320339277386665,0.5324859023094177,9.98067514051959e-13,True
0.05,50,2,0.10753409564495087,1.092293381690979,9.857004535512859e-13,True
0.05,50,3,0.08177568763494492,0.8145317435264587,9.993228033272628e-13,True
0.05,50,4,0.04595399647951126,0.45246899127960205,9.873879058125423e-13,True
0.05,50,5,0.12290667742490768,1.213834285736084,9.810729702589005e-13,True
0.1,100,0,0.06426294893026352,0.6440508961677551,4.34593160070218e-12,True
0.1,100,1,0.03645355999469757,0.3629801571369171,4.035711435174116e-12,True
0.1,100,2,0.05992143601179123,0.6148443818092346,3.989196559889274e-12,True
0.1,100,3,0.04722065478563309,0.4746192395687103,3.6145929999120696e-12,True
0.1,100,4,0.022595468908548355,0.21934650838375092,4.932820645009439e-12,True
0.1,100,5,0.07398414611816406,0.7351206541061401,3.5336555730125507e-12,True
0.15,150,0,0.0357036218047142,0.35817644000053406,1.3475065681334275e-11,True
0.15,150,1,0.012606087140738964,0.124760702252388,9.958533155440819e-06,False
0.15,150,2,0.02525489404797554,0.2535352408885956,9.955860150512308e-06,False
0.15,150,3,0.02735734172165394,0.2731425166130066,9.955379937309772e-06,False
0.15,150,4,0.008543459698557854,0.08356422930955887,9.984494681702927e-06,False
0.15,150,5,0.037000250071287155,0.3708920478820801,9.96558264887426e-06,False
0.2,200,0,0.014346201904118061,0.1451079398393631,1.0230539082556334e-08,False
0.2,200,1,0.00491765420883894,0.048660747706890106,2.480231131585242e-08,False
0.2,200,2,0.008726822212338448,0.08738239854574203,1.0491777224785892e-08,False
0.2,200,3,0.00942772626876831,0.09526912868022919,1.0809494632724181e-08,False
0.2,200,4,0.0017675872659310699,0.017483055591583252,9.781313536905145e-08,False
0.2,200,5,0.01055159792304039,0.10500103235244751,1.0368758296408487e-08,False
0.25,250,0,0.0015000344719737768,0.015194439329206944,9.994209904107265e-06,False
0.25,250,1,0.00100480648688972,0.009964183904230595,9.9967410278623e-06,False
0.25,250,2,0.0016623950796201825,0.016780465841293335,9.993947060138453e-06,False
0.25,250,3,0.004113021306693554,0.04136171191930771,9.992872037400957e-06,False
0.25,250,4,0.0003644253592938185,0.003657793626189232,9.997643246606458e-06,False
0.25,250,5,0.004562922287732363,0.04554795101284981,9.995243999583181e-06,False
0.3,300,0,0.0005717609892599285,0.005762036889791489,2.4483453671564348e-05,False
0.3,300,1,0.0003111662808805704,0.0031146351248025894,1.1655498383333907e-05,False
0.3,300,2,0.0005532172508537769,0.005554315634071827,9.583576684235595e-06,False
0.3,300,3,0.0010915034217759967,0.010955643840134144,9.360472176922485e-06,False
0.3,300,4,0.0001183147105621174,0.0011794301681220531,1.677334694250021e-05,False
0.3,300,5,0.0008432550239376724,0.008433911018073559,2.1735550035373308e-05,False
0.35,350,0,0.00016844611673150212,0.0017048439476639032,9.999022040574346e-06,False
0.35,350,1,8.37261468404904e-05,0.0008363749366253614,9.998602763516828e-06,False
0.35,350,2,0.00022099539637565613,0.0022425262723118067,9.998150744650047e-06,False
0.35,350,3,0.00039316865149885416,0.003952241037040949,9.998607310990337e-06,False
0.35,350,4,4.242639624862932e-05,0.00042561133159324527,9.998961104429327e-06,False
0.35,350,5,0.00022968757548369467,0.0022894900757819414,9.998756468121428e-06,False
