alpha,n_train,seed,test_pred_mse,param_mse
0.008,8,0,0.0925762727856636,0.9456356167793274
0.008,8,4,0.05486218258738518,0.5464152097702026
0.008,8,9,0.0677458718419075,0.6789190769195557
0.016,16,0,0.09691885113716125,0.9919372200965881
0.016,16,1,0.06122083589434624,0.6108236908912659
0.016,16,2,0.14281535148620605,1.4541387557983398
0.016,16,3,0.08675830066204071,0.8685452938079834
0.016,16,4,0.05625561997294426,0.5584312081336975
0.016,16,5,0.1380353718996048,1.3621413707733154
0.016,16,6,0.163752943277359,1.612960696220398
0.016,16,7,0.08937027305364609,0.8981202840805054
0.016,16,8,0.12731215357780457,1.2872793674468994
0.016,16,9,0.06559509038925171,0.6595737934112549
0.032,32,0,0.09454213082790375,0.9622757434844971
0.032,32,1,0.05703559145331383,0.5723176002502441
0.032,32,2,0.13035432994365692,1.3255547285079956
0.032,32,3,0.082455575466156,0.8171671032905579
0.032,32,4,0.051936034113168716,0.5196935534477234
0.032,32,5,0.13637413084506989,1.3427293300628662
0.032,32,6,0.15855185687541962,1.564012050628662
0.032,32,7,0.08452608436346054,0.8567999601364136
0.032,32,8,0.11834096908569336,1.207168459892273
0.032,32,9,0.05666008219122887,0.5764672160148621
0.064,64,0,0.08277479559183121,0.8339663743972778
0.064,64,1,0.05289860814809799,0.5302590131759644
0.064,64,2,0.08645600825548172,0.8828234076499939
0.064,64,3,0.07720887660980225,0.7686387896537781
0.064,64,4,0.04037101939320564,0.3943401277065277
0.064,64,5,0.11051682382822037,1.097122073173523
0.064,64,6,0.14903157949447632,1.478744626045227
0.064,64,7,0.06561422348022461,0.6608743667602539
0.064,64,8,0.11423791199922562,1.1658539772033691
0.064,64,9,0.05540035292506218,0.5548539161682129
0.1,100,0,0.06450638175010681,0.6467846035957336
0.1,100,1,0.06464678794145584,0.6442267298698425
0.1,100,2,0.06113038957118988,0.6268641352653503
0.1,100,3,0.0478205531835556,0.48062047362327576
0.1,100,4,0.05666288360953331,0.5672629475593567
0.1,100,5,0.07467402517795563,0.7419296503067017
0.1,100,6,0.09761535376310349,0.9421256184577942
0.1,100,7,0.04712902382016182,0.47498375177383423
0.1,100,8,0.0971728265285492,0.9908437728881836
0.1,100,9,0.05481432378292084,0.5485826134681702
0.15,150,0,0.05070231482386589,0.5076673626899719
0.15,150,1,0.018607115373015404,0.18432021141052246
0.15,150,2,0.025857802480459213,0.2596222460269928
0.15,150,3,0.05002400651574135,0.4961734712123871
0.15,150,4,0.01695980876684189,0.1685665249824524
0.15,150,5,0.09815200418233871,0.9737116694450378
0.15,150,6,0.04000085964798927,0.3837716281414032
0.15,150,7,0.03807121887803078,0.3830282986164093
0.15,150,8,0.08133427798748016,0.8295840620994568
0.15,150,9,0.024881014600396156,0.2502537667751312
0.2,200,0,0.021097246557474136,0.21348769962787628
0.2,200,1,0.007031202781945467,0.06960027664899826
0.2,200,2,0.05567009374499321,0.5661249756813049
0.2,200,3,0.018269715830683708,0.18347135186195374
0.2,200,4,0.0028377482667565346,0.02807990275323391
0.2,200,5,0.023496849462389946,0.23304666578769684
0.2,200,6,0.046340301632881165,0.4534737467765808
0.2,200,7,0.016164259985089302,0.16352012753486633
0.2,200,8,0.04362407699227333,0.4387489855289459
0.2,200,9,0.008311985991895199,0.08402378857135773
0.25,250,0,0.0022987937554717064,0.023341568186879158
0.25,250,1,0.001581269782036543,0.015681173652410507
0.25,250,2,0.01893489621579647,0.1908084601163864
0.25,250,3,0.005727429874241352,0.057562265545129776
0.25,250,4,0.0005597477429546416,0.0056195748038589954
0.25,250,5,0.007700749207288027,0.0766330435872078
0.25,250,6,0.00965142622590065,0.09422293305397034
0.25,250,7,0.0032450028229504824,0.03270435333251953
0.25,250,8,0.01596926338970661,0.1617504209280014
0.25,250,9,0.0010129120200872421,0.01017729751765728
0.3,300,0,0.0008425043779425323,0.008486260659992695
0.3,300,1,0.0004707503248937428,0.004718737211078405
0.3,300,2,0.003876818809658289,0.03875551372766495
0.3,300,3,0.0015654392773285508,0.01568702422082424
0.3,300,4,0.00016007994418032467,0.0015951920067891479
0.3,300,5,0.0013753664679825306,0.013730735518038273
0.3,300,6,0.0020679342560470104,0.020367233082652092
0.3,300,7,0.0006682742387056351,0.006673603784292936
0.3,300,8,0.0012528548249974847,0.012661006301641464
0.3,300,9,0.0002762633084785193,0.0027585835196077824
0.35,350,0,0.0002257597225252539,0.0022897336166352034
0.35,350,1,0.00010378608567407355,0.001040124916471541
0.35,350,2,0.00031170857255347073,0.0031724143773317337
0.35,350,3,0.0005299295880831778,0.0053184423595666885
0.35,350,4,4.925037137581967e-05,0.0004951446899212897
0.35,350,5,0.0003464396868366748,0.0034481787588447332
0.35,350,6,0.00042921165004372597,0.004223561380058527
0.35,350,7,0.00019814024562947452,0.0019713693764060736
0.35,350,8,0.00024842380662448704,0.0025213677436113358
0.35,350,9,7.084420212777331e-05,0.000707095954567194
0.4,400,0,8.666866779094562e-05,0.0008793084998615086
0.4,400,1,3.3597953006392345e-05,0.0003425853792577982
0.4,400,2,0.0001133160330937244,0.0011534257791936398
0.4,400,3,0.00015354307834059,0.0015341496327891946
0.4,400,4,1.6909012629184872e-05,0.0001708088966552168
0.4,400,5,0.00012932268145959824,0.0012979782186448574
0.4,400,6,0.00014052022015675902,0.0013766229385510087
0.4,400,7,6.815882807131857e-05,0.0006846576579846442
0.4,400,8,9.395858796779066e-05,0.0009492366225458682
0.4,400,9,2.3529109967057593e-05,0.000237861619098112
0.5,500,0,1.4694736819365062e-05,0.0001483989180997014
0.5,500,1,8.404598702327348e-06,8.424594852840528e-05
0.5,500,2,2.1218382244114764e-05,0.00021447509061545134
0.5,500,3,2.9025282856309786e-05,0.0002884634886868298
0.5,500,4,4.7792959776415955e-06,4.796764187631197e-05
0.5,500,5,1.2572166269819718e-05,0.00012780680845025927
0.5,500,6,2.0894542103633285e-05,0.00020583125296980143
0.5,500,7,1.23286408779677e-05,0.00012423735461197793
0.5,500,8,1.4014612133905757e-05,0.00014014089538250118
0.5,500,9,4.079236987308832e-06,4.107729910174385e-05
0.6,600,0,4.7860930862952955e-06,4.808877929463051e-05
0.6,600,1,3.272669800935546e-06,3.3242798963328823e-05
0.6,600,2,5.625859557767399e-06,5.66814596822951e-05
0.6,600,3,8.458921911369544e-06,8.377090125577524e-05
0.6,600,4,2.4063463115453487e-06,2.4432792997686192e-05
0.6,600,5,3.760710796996136e-06,3.7941732443869114e-05
0.6,600,6,6.104370640969137e-06,5.993066952214576e-05
0.6,600,7,3.2983525670715608e-06,3.329646642669104e-05
0.6,600,8,3.940675469493726e-06,3.92717047361657e-05
0.6,600,9,1.7076878293664777e-06,1.7071635738830082e-05
0.7,700,0,2.2482502117782133e-06,2.2580632503377274e-05
0.7,700,1,1.9110404991806718e-06,1.9306682588648982e-05
0.7,700,2,2.6398367936053546e-06,2.6733838240033947e-05
0.7,700,3,4.359972535894485e-06,4.301928493077867e-05
0.7,700,4,1.3032772585575003e-06,1.3120155017531943e-05
0.7,700,5,1.529843757452909e-06,1.5420702766277827e-05
0.7,700,6,2.6987167984771077e-06,2.6173334845225327e-05
0.7,700,7,1.563576802254829e-06,1.575587157276459e-05
0.7,700,8,1.8171956526202848e-06,1.8234268281958066e-05
0.7,700,9,1.0712392395362258e-06,1.0641419976309408e-05
0.8,800,0,1.4494457900582347e-06,1.4583415577362757e-05
0.8,800,1,1.1337496061969432e-06,1.1386661753931548e-05
0.8,800,2,1.6764545307523804e-06,1.6985361071419902e-05
0.8,800,3,1.976813109649811e-06,1.9532362784957513e-05
0.8,800,4,9.40493407597387e-07,9.499529369350057e-06
0.8,800,5,1.0395170875199256e-06,1.041442828864092e-05
0.8,800,6,1.5405668136736494e-06,1.491782495577354e-05
0.8,800,7,1.013456426335324e-06,1.019990122586023e-05
0.8,800,8,1.100593181035947e-06,1.104993589251535e-05
0.8,800,9,7.819925258445437e-07,7.745542461634614e-06
0.9,900,0,9.505742468718381e-07,9.467762538406532e-06
0.9,900,1,0.08917215466499329,0.9116964340209961
0.9,900,2,1.2393294355206308e-06,1.2474620234570466e-05
0.9,900,3,1.2952076531291823e-06,1.2854449778387789e-05
0.9,900,4,6.755283266102197e-07,6.839033176220255e-06
0.9,900,5,8.476430366499699e-07,8.436151802015956e-06
0.9,900,6,1.1282836567261256e-06,1.1007165085175075e-05
0.9,900,7,7.699866841903713e-07,7.731097866781056e-06
0.9,900,8,7.682464229219477e-07,7.830693903088104e-06
0.9,900,9,6.222830961633008e-07,6.174238933454035e-06
0.95,950,0,8.560179480809893e-07,8.527465070073958e-06
0.95,950,1,0.07240130007266998,0.7407426238059998
0.95,950,2,1.1490326414786978e-06,1.152665208792314e-05
0.95,950,3,1.1181676882188185e-06,1.1123427611892112e-05
0.95,950,4,0.10007242858409882,1.009699821472168
0.95,950,5,7.554301078016579e-07,7.535172699135728e-06
0.95,950,6,9.219747880706564e-07,9.004606909002177e-06
0.95,950,7,6.933391318852955e-07,7.023375474091154e-06
0.95,950,8,6.434307238123438e-07,6.585241408174625e-06
0.95,950,9,5.980776904834784e-07,5.957150733593153e-06
0.975,975,0,8.006608140931348e-07,7.975119842740241e-06
0.975,975,1,0.057591065764427185,0.5865899324417114
0.975,975,2,1.0876490250666393e-06,1.0936737453448586e-05
0.975,975,3,1.0084789892061963e-06,1.0059954547614325e-05
0.975,975,4,0.09857886284589767,0.9817967414855957
0.975,975,5,7.360442282333679e-07,7.351474778261036e-06
0.975,975,6,8.572395699957269e-07,8.380030521948356e-06
0.975,975,7,6.776211876058369e-07,6.885201401019003e-06
0.975,975,8,6.263730369937548e-07,6.39025665805093e-06
0.975,975,9,5.961125566500414e-07,5.928422524448251e-06
0.99,990,0,7.77772186211223e-07,7.763106623315252e-06
0.99,990,1,0.05870787426829338,0.6034109592437744
0.99,990,2,1.0719262490965775e-06,1.0777684110507835e-05
0.99,990,3,9.850892865870264e-07,9.85158021649113e-06
0.99,990,4,0.07906495034694672,0.8028457164764404
0.99,990,5,6.947788051547832e-07,6.955957815080183e-06
0.99,990,6,8.270856142189587e-07,8.129823982017115e-06
0.99,990,7,6.650476507275016e-07,6.762327302567428e-06
0.99,990,8,6.203728730724833e-07,6.325065442069899e-06
0.99,990,9,5.922979084971303e-07,5.87647627980914e-06
1.0,1000,0,7.4996017929152e-07,7.467659543181071e-06
1.0,1000,1,0.06398475915193558,0.6504371762275696
1.0,1000,2,9.968106269298005e-07,1.0037230822490528e-05
1.0,1000,3,9.490780712440028e-07,9.462138223170768e-06
