pi_A,alpha,count_ALL,count_NO_PREMATURE_LEGACY,count_LONG_TIME_ONLY,count_FIXED_POINT_betaRate_1e-06
0.1,0.05,9,0,0,0
0.1,0.1,9,9,6,0
0.1,0.15,3,3,0,0
0.1,0.2,9,9,9,3
0.1,0.25,9,9,9,3
0.1,0.3,9,9,9,9
0.1,0.4,9,9,9,9
0.1,0.5,9,9,9,9
0.1,0.6,9,9,9,9
0.1,0.7,9,9,9,9
0.1,0.8,9,9,9,9
0.1,0.9,6,6,6,6
0.1,1.0,6,6,6,6
0.5,0.05,9,0,0,0
0.5,0.1,9,9,3,0
0.5,0.15,3,3,0,0
0.5,0.2,9,9,9,9
0.5,0.25,9,9,9,9
0.5,0.3,9,9,9,9
0.5,0.4,9,9,9,9
0.5,0.5,9,9,9,9
0.5,0.6,6,6,6,6
0.5,0.7,6,6,6,6
0.5,0.8,6,6,6,6
0.5,0.9,6,6,6,6
0.5,1.0,6,6,6,6
0.9,0.05,9,9,0,0
0.9,0.1,9,9,9,3
0.9,0.15,3,3,0,0
0.9,0.2,9,9,9,9
0.9,0.25,9,9,9,9
0.9,0.3,9,9,9,9
0.9,0.4,9,9,9,9
0.9,0.5,7,7,7,7
0.9,0.6,6,6,6,6
0.9,0.7,6,6,6,6
0.9,0.8,6,6,6,6
0.9,0.9,6,6,6,6
0.9,1.0,6,6,6,6
