case_name,alpha,count_ALL,count_NO_PREMATURE_LEGACY,count_LONG_TIME_ONLY,count_FIXED_POINT_betaRate_1e-06
bad,0.05,6,6,6,4
bad,0.1,6,6,6,6
bad,0.2,6,6,6,6
bad,0.25,6,6,6,6
bad,0.3,6,6,6,6
bad,0.4,6,6,6,6
bad,0.5,6,6,6,6
bad,0.6,6,6,6,6
bad,0.7,6,6,6,6
bad,0.8,6,6,6,6
bad,0.9,6,6,6,6
bad,1.0,6,6,6,6
good,0.05,3,0,0,0
good,0.1,3,3,3,0
good,0.2,4,4,4,2
good,0.25,6,6,6,0
good,0.3,6,6,6,4
good,0.4,6,6,6,6
good,0.5,6,6,6,6
good,0.6,6,6,6,6
good,0.7,6,6,6,6
good,0.8,6,6,6,6
good,0.9,6,6,6,6
good,1.0,6,6,6,6
