rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,seed,ft_teacher_norm,alpha,mse_best,active_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,reliability_score_db,rho_pt_emp,rho_ft_emp
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.01,1.1938461446078117,0.18365,1.19384614475683,1.1938461446078117,5.420954796164779e-10,9.896912729345786e-07,0.05404912033681333,0.045273103725245026,0.19661859126507467,81.4365399735682,0.0963,0.1017
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.059000000000000004,1.1074420855998321,0.32165,1.1074421159738894,1.1074420855998321,1.1911489961047295e-07,8.334072312266017e-07,0.040489616560883256,0.03656138509396865,0.15878407797050387,81.4365399735682,0.0963,0.1017
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.108,0.9210615380605257,0.39355,0.9210616687647256,0.9210615380605257,6.162900784700831e-07,9.156241436159007e-07,0.032312911889242055,0.03508225080952048,0.15236027939320632,81.4365399735682,0.0963,0.1017
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.15700000000000003,0.6966338944476758,0.44595,0.6966342558707476,0.6966338944476758,2.253177834976583e-06,8.958479620346793e-07,0.02387367758015599,0.034270048831149924,0.14883293101923392,81.4365399735682,0.0963,0.1017
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.20600000000000002,0.46869456291812256,0.4867,0.46869545134614893,0.46869456291812256,8.23220609458275e-06,9.90053630189891e-07,0.01535759803018863,0.03276675098292422,0.1423041914178194,81.4365399735682,0.0963,0.1017
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.255,0.2505809865994907,0.5256,0.2505830690492861,0.2505809865994907,3.609183239738911e-05,9.84506270396146e-07,0.007568044481094155,0.030201990118230056,0.1311655765084385,81.4365399735682,0.0963,0.1017
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.30400000000000005,2.1698476653604125e-10,0.324,0.0813853982033356,2.1698476653604125e-10,85.74117247566969,9.254520144736147e-07,6.020742044168314e-12,0.027747302911092914,0.12050500541985686,81.4365399735682,0.0963,0.1017
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.35300000000000004,1.181199344010088e-10,0.3128,0.00610258650406827,1.181199344010088e-10,77.13190747146672,6.986802962606298e-07,3.2645581364927708e-12,0.02763765619281355,0.12002881577278157,81.4365399735682,0.0963,0.1017
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.402,7.202850531443982e-11,0.23595,2.9751205621933035e-05,7.202850531443982e-11,56.16000166845833,3.359424859981755e-07,2.0303879932049837e-12,0.02818867314185325,0.12242185197681264,81.4365399735682,0.0963,0.1017
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.451,3.85915714254028e-11,0.21825,1.8073860087850016e-07,3.85915714254028e-11,36.7055845288686,4.3502207741354436e-07,1.0841152978351774e-12,0.02809202263066078,0.12200210413997246,81.4365399735682,0.0963,0.1017
0.1,0.1,0.0,0.001,-0.001,1e-06,0,unit_total_var,0.5,2.217869480906667e-11,0.1017,2.68213631843438e-08,2.217869480906667e-11,30.825448620788947,2.0340141353548023e-07,5.071291121341199e-13,0.022865597660273726,0.09930402889276783,81.4365399735682,0.0963,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.01,1.1938461446078117,0.18365,1.19384614475683,1.1938461446078117,5.420954796164779e-10,9.896912729345786e-07,0.05404912033681333,0.045273103725245026,0.19661859126507467,81.4365399735682,0.1017,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.059000000000000004,1.1074420855998321,0.32165,1.1074421159738894,1.1074420855998321,1.1911489961047295e-07,8.334072312266017e-07,0.040489616560883256,0.03656138509396865,0.15878407797050387,81.4365399735682,0.1017,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.108,0.9210615380605257,0.39355,0.9210616687647256,0.9210615380605257,6.162900784700831e-07,9.156241436159007e-07,0.032312911889242055,0.03508225080952048,0.15236027939320632,81.4365399735682,0.1017,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.15700000000000003,0.6966338944476758,0.44595,0.6966342558707476,0.6966338944476758,2.253177834976583e-06,8.958479620346793e-07,0.02387367758015599,0.034270048831149924,0.14883293101923392,81.4365399735682,0.1017,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.20600000000000002,0.46869456291812256,0.4867,0.46869545134614893,0.46869456291812256,8.23220609458275e-06,9.90053630189891e-07,0.01535759803018863,0.03276675098292422,0.1423041914178194,81.4365399735682,0.1017,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.255,0.2505809865994907,0.5256,0.2505830690492861,0.2505809865994907,3.609183239738911e-05,9.84506270396146e-07,0.007568044481094155,0.030201990118230056,0.1311655765084385,81.4365399735682,0.1017,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.30400000000000005,2.1698476653604125e-10,0.324,0.0813853982033356,2.1698476653604125e-10,85.74117247566969,9.254520144736147e-07,6.020742044168314e-12,0.027747302911092914,0.12050500541985686,81.4365399735682,0.1017,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.35300000000000004,1.181199344010088e-10,0.3128,0.00610258650406827,1.181199344010088e-10,77.13190747146672,6.986802962606298e-07,3.2645581364927708e-12,0.02763765619281355,0.12002881577278157,81.4365399735682,0.1017,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.402,7.202850531443982e-11,0.23595,2.9751205621933035e-05,7.202850531443982e-11,56.16000166845833,3.359424859981755e-07,2.0303879932049837e-12,0.02818867314185325,0.12242185197681264,81.4365399735682,0.1017,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.451,3.85915714254028e-11,0.21825,1.8073860087850016e-07,3.85915714254028e-11,36.7055845288686,4.3502207741354436e-07,1.0841152978351774e-12,0.02809202263066078,0.12200210413997246,81.4365399735682,0.1017,0.1017
0.1,0.1,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.5,2.217869480906667e-11,0.1017,2.68213631843438e-08,2.217869480906667e-11,30.825448620788947,2.0340141353548023e-07,5.071291121341199e-13,0.022865597660273726,0.09930402889276783,81.4365399735682,0.1017,0.1017
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.01,2.315865278777153e-12,0.00985,2.315865278777153e-12,1.1867948670258959,117.09662367789832,9.850988963142743e-07,1.8387699943252078e-13,0.07939883253036784,0.3448247483749915,76.5900675863877,0.1017,0.00985
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.059000000000000004,0.0890397928585824,0.2942,0.08904678212087386,0.0890397928585824,0.00034089015947991186,0.00010256205474501456,0.007363104224045633,0.08269453451829223,0.359137800248523,76.5900675863877,0.1017,0.00985
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.108,4.096794290381248e-12,0.03225,1.6626288305566734e-08,4.096794290381248e-12,36.08351149487707,3.005569803356412e-07,3.413087435426234e-13,0.08331117438431627,0.361815833159881,76.5900675863877,0.1017,0.00985
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.15700000000000003,3.262382623765913e-12,0.02075,2.8532120598059195e-10,3.262382623765913e-12,19.417991557220702,1.1843799711074372e-07,2.7249961809982436e-13,0.0835277922689724,0.36275659267975807,76.5900675863877,0.1017,0.00985
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.20600000000000002,2.9030922813099724e-12,0.01505,1.0497740155629269e-10,2.9030922813099724e-12,15.582349776531458,5.4663231721899296e-08,2.417699979537003e-13,0.08328016284918287,0.3616811517740431,76.5900675863877,0.1017,0.00985
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.255,2.724701816021013e-12,0.0125,4.944966360740506e-11,2.724701816021013e-12,12.588443603535708,2.7925765671123212e-08,2.257864521368588e-13,0.08286648131889289,0.3598845557153407,76.5900675863877,0.1017,0.00985
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.30400000000000005,2.6258052998983943e-12,0.0111,2.5763998337436347e-11,2.6258052998983943e-12,9.917507418912294,1.5538278782438684e-08,2.1647625770483867e-13,0.08244185420496151,0.3580404235908718,76.5900675863877,0.1017,0.00985
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.35300000000000004,2.5654795382232622e-12,0.01045,1.2095104362176882e-11,2.5654795382232622e-12,6.734410648534734,9.349835537874496e-09,2.105158552751641e-13,0.0820571172518328,0.356369532233591,76.5900675863877,0.1017,0.00985
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.402,2.5218418403521668e-12,0.0102,6.152592376886819e-12,2.5218418403521668e-12,3.873402971425122,6.7890148553154934e-09,2.060869953205272e-13,0.08172082484433198,0.3549090328647554,76.5900675863877,0.1017,0.00985
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.451,2.4794479065080485e-12,0.01,3.661026872840332e-12,2.4794479065080485e-12,1.6924792857698776,6.410160147319213e-09,2.0160898992471884e-13,0.08131204910397032,0.35313374238100553,76.5900675863877,0.1017,0.00985
0.1,0.01,1.0,0.001,-0.001,1e-06,0,unit_total_var,0.5,2.315865278777153e-12,0.00985,2.8662204527273225e-12,2.315865278777153e-12,0.9259629920543944,1.970197792628545e-08,1.8387699943252078e-13,0.07939883253036784,0.3448247483749915,76.5900675863877,0.1017,0.00985
